Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
27	66266.48	33491.184	141551.84	39209.367	500.0	107999	7321.664	9290.226	25688.498	845.7494	7321.6216	9290.345	25685.537	846.71436	24.35833	3.016833	30.950003	2.6657486	-7313.589	2436270.8	17294.346281051636
28	65709.43	29858.537	135322.25	44083.098	500.0	111999	7267.7886	9079.88	25778.842	754.9673	7267.7217	9079.953	25814.928	745.8578	24.475267	3.0170693	30.996567	3.669797	-7258.8296	2323212.2	17945.10260629654
29	77488.72	23822.027	131596.62	53717.875	500.0	115999	7170.662	9139.913	25976.8	811.0543	7170.6084	9139.945	25980.145	810.85474	24.466515	3.0249298	31.08349	3.7592564	-7163.68	2258591.8	18579.62158870697
30	68147.7	11909.042	86000.52	51738.668	500.0	119999	7447.2935	9324.551	26569.27	847.5752	7447.2354	9324.584	26580.615	850.6646	24.758654	3.0072708	31.268166	2.9798145	-7439.516	1872277.6	19221.42158794403
31	60065.844	12250.963	78304.75	46124.652	500.0	123999	7450.726	9131.63	26607.516	856.7273	7450.705	9131.608	26597.447	866.45245	24.984676	3.012172	31.594812	3.7196388	-7442.438	1494747.9	19866.50640797615
32	50077.12	11351.491	69698.13	38498.95	500.0	127999	7295.5317	8714.731	26082.19	1094.0387	7295.4727	8714.756	26076.014	1030.5583	24.843506	3.0012777	31.33067	1.4248104	-7287.459	1354011.6	20514.955286026
33	57830.633	17669.09	94626.55	37547.387	500.0	131999	7041.301	8309.524	26066.01	1048.6581	7041.3643	8309.448	26056.557	1075.4504	24.78561	3.01031	31.427279	4.3572874	-7031.353	1135030.9	21165.57252550125
34	58058.445	15587.495	87282.06	38971.855	500.0	135999	6926.1357	8273.956	29835.395	1027.3682	6926.089	8273.973	29881.018	1027.3597	24.826927	3.0208886	31.313744	2.9793167	-6916.6826	1260050.5	21814.084829092026
35	68722.45	30404.418	127596.945	39589.473	500.0	139999	6732.188	8253.731	29607.746	925.67163	6732.087	8253.767	29624.469	914.3485	24.692848	3.0261676	31.387043	1.5551996	-6723.9697	1277042.1	22446.41778731346
36	49612.31	5971.476	57993.61	40191.24	500.0	143999	6839.082	8452.608	28633.045	862.78046	6838.917	8452.735	28670.121	853.22876	24.971409	2.9933403	31.504177	5.2385044	-6828.946	1256707.9	23081.848426818848
37	74395.945	31869.656	136609.77	38969.61	500.0	147999	6473.1226	8489.851	25558.123	716.9523	6473.039	8489.933	25577.873	699.2987	24.857641	3.0119622	31.51979	-0.007789612	-6464.1523	1287658.0	23717.49602985382
38	58282.69	13669.342	88091.98	38751.117	500.0	151999	6408.734	8646.48	25896.299	623.54865	6408.785	8646.489	25863.176	588.6119	24.767103	3.0240848	31.418055	2.8386574	-6399.5996	1223976.2	24349.354335069656
39	52738.383	12600.229	80489.06	38980.85	500.0	155999	6699.0625	8867.873	26704.176	679.7957	6698.986	8867.927	26702.375	662.6034	25.214264	3.0071042	31.656155	4.140587	-6688.772	1370451.0	25008.87504029274
40	55667.645	12875.924	85869.97	38852.613	500.0	159999	6573.8125	8948.007	26270.63	631.8948	6573.429	8948.283	26261.496	599.76355	25.27361	3.0205922	31.89674	3.3122816	-6564.574	1398213.6	25657.095997333527
41	69901.33	25766.44	126914.82	47282.133	500.0	163999	6511.4487	9153.81	30287.184	496.6417	6511.2314	9153.968	30267.2	487.35504	25.547377	3.0257912	32.133404	4.459444	-6502.177	1803340.8	26312.25310230255
42	62266.6	18873.002	101980.51	39466.516	500.0	167999	6697.125	9352.77	30088.951	380.31973	6696.8813	9352.907	30144.562	368.06833	25.926996	3.0252223	32.37543	4.3706894	-6687.446	1711453.2	26940.473895072937
43	78242.55	29795.443	138269.84	43905.97	500.0	171999	7137.0723	9420.169	30329.3	469.6625	7136.8726	9420.29	30342.205	466.0813	26.457428	3.016853	32.985878	5.606819	-7126.669	1398125.6	27576.69965171814
44	58520.945	16184.186	88595.63	38686.668	500.0	175999	7172.481	9164.301	26851.13	649.8733	7172.176	9164.529	26856.598	642.094	26.552765	3.0287864	32.910816	5.1462936	-7162.355	1165515.9	28210.044899463654
45	59756.25	17238.104	95533.91	41051.62	500.0	179999	7073.8857	9126.156	25869.729	695.62823	7073.755	9126.239	25865.354	704.3694	26.584333	3.0112686	33.31164	6.7164125	-7065.168	1114931.8	28838.397895097733
46	60411.92	27630.512	131933.98	38400.977	500.0	183999	7068.259	9243.295	26207.336	624.9058	7067.9785	9243.449	26215.19	622.85297	26.817316	3.014877	33.33271	5.899702	-7057.845	1834170.1	29475.100271701813
47	49654.89	5330.28	56688.895	41448.207	500.0	187999	6942.7993	9363.132	26712.271	486.2714	6942.571	9363.258	26709.93	448.7612	26.972923	3.0237634	33.36415	4.847	-6931.592	1847667.5	30108.66891360283
48	60919.0	17681.686	102627.625	44009.12	500.0	191999	6369.3374	9227.475	26323.582	244.04933	6369.2007	9227.473	26341.357	293.41364	26.767586	3.0271764	33.316948	7.5928993	-6356.8413	1896586.0	30743.883949518204
49	59098.668	16880.258	87164.97	39557.86	500.0	195999	5966.2163	9028.762	25993.111	276.3637	5966.015	9028.849	25993.545	303.75916	26.462873	3.0162673	32.96502	3.8254423	-5954.6143	1391667.4	31383.8493642807
50	54943.44	12535.3955	86905.92	45416.516	500.0	199999	5992.8125	8880.277	26306.39	303.10266	5992.7856	8880.289	26323.707	257.69617	26.54644	3.0123777	32.95327	-1.0489235	-5983.167	1226353.2	32022.616092205048
51	54242.586	10711.671	75410.37	39624.02	500.0	203999	6024.851	8884.797	26039.393	282.72647	6024.857	8884.762	26041.486	146.03787	26.574322	3.014466	33.051876	4.82094	-6015.973	1059503.0	32658.31200861931
52	55362.23	13677.796	84222.7	40772.406	500.0	207999	5969.059	9032.827	26689.508	191.0308	5968.988	9032.882	26707.963	124.07145	26.638699	3.012633	33.063847	3.8743744	-5958.9424	1079862.2	33312.84357380867
53	46553.83	6771.3013	57361.598	39010.47	500.0	211999	5764.946	9091.057	26653.65	81.89593	5765.066	9090.965	26662.316	84.30219	26.618805	3.0189273	33.32346	4.4103756	-5754.6514	1323111.1	33962.09780931473
54	58506.633	12409.822	85917.875	45189.797	500.0	215999	5750.2656	9253.059	26405.58	-7.0472193	5750.188	9253.116	26406.154	-32.07717	26.735657	3.0277643	33.43309	5.643463	-5738.881	1359485.8	34597.70077419281
55	56155.266	13429.215	83953.47	40680.766	500.0	219999	5677.756	9224.376	26810.664	-72.70754	5678.159	9224.093	26822.518	-64.141045	26.738674	3.0143888	33.059517	2.9880981	-5666.0435	1373586.1	35242.769116163254
56	53436.684	17043.56	93336.016	38054.395	500.0	223999	5649.02	9028.7	26158.004	-40.54726	5649.1797	9028.584	26161.428	-44.32778	26.6918	3.0135927	33.040085	5.745241	-5638.18	1122758.6	35878.46793437004
57	47993.71	7991.756	64754.52	36899.01	500.0	227999	5455.83	8940.295	27151.635	-9.779853	5455.5576	8940.457	27163.604	-10.0671	26.43659	3.025616	32.873634	3.0447388	-5445.236	897113.9	36511.75437378883
58	63141.773	14844.608	99906.92	50161.418	500.0	231999	5592.2007	8961.702	25829.531	4.204588	5592.2524	8961.619	25824.588	15.649382	26.734175	3.0341787	33.420303	1.8466244	-5581.275	1046818.6	37154.510902404785
59	56171.383	12251.585	81802.25	38290.004	500.0	235999	6092.132	9085.676	25586.48	53.744278	6091.882	9085.753	25584.299	-98.804115	27.327038	3.025149	33.974655	6.9656754	-6080.5776	1249061.2	37810.394845724106
60	50616.094	12171.073	80601.28	40446.48	500.0	239999	6226.3394	9244.931	26127.934	18.656656	6225.982	9245.024	26147.926	-101.780304	27.49969	3.0050106	34.13191	5.618271	-6215.2754	1358146.5	38475.2298681736
61	64256.96	31060.73	137779.28	37827.734	500.0	243999	6167.543	9431.13	26658.482	-163.84589	6167.2524	9431.288	26675.383	-414.71545	27.476269	3.029967	33.897404	3.6877594	-6157.285	1376580.2	39103.45800733566
62	46235.03	4561.1426	54103.027	39882.184	500.0	247999	5833.3486	9418.176	26740.096	-129.05061	5841.9863	9412.68	26737.562	-482.3526	27.330046	3.0342684	33.910126	6.5323906	-5822.916	1481868.5	39746.6095290184
63	64103.81	17375.473	97628.28	45571.004	500.0	251999	5480.0913	9137.85	27317.486	-81.82522	5480.1484	9137.711	27319.336	-304.31354	27.038898	3.017998	33.574093	6.99629	-5469.498	1108159.4	40377.853009939194
